coin_name,arima_gain_percent,xgboost_gain_percent,combined_gain_percent,current_price,arima_prediction,xgboost_prediction,combined_prediction,prediction_score
BTC,0.0,0.04,0.02,104337.46,104337.46,104375.52,104356.48,1
ETH,-0.95,-0.11,-0.53,2500.97,2477.2,2498.26,2487.73,0
XRP,0.87,0.71,0.79,2.15,2.17,2.17,2.17,1
SOL,0.03,0.67,0.35,143.94,143.98,144.9,144.44,1
DOGE,9.91,0.66,5.29,0.17,0.19,0.17,0.18,3
ADA,-0.36,1.56,0.6,0.59,0.59,0.6,0.6,1
TRX,-0.04,0.08,0.02,0.27,0.27,0.27,0.27,1
AVAX,5.78,1.59,3.68,17.83,18.86,18.11,18.49,2
SUI20947,0.51,0.56,0.54,2.84,2.85,2.85,2.85,1
TON11419,-0.02,0.42,0.2,2.93,2.93,2.94,2.94,1
