coin_name,label
BITCOIN,negative
BITCOIN,positive
BITCOIN,neutral
BITCOIN,positive
BITCOIN,positive
BITCOIN,positive
BITCOIN,positive
BITCOIN,positive
BITCOIN,positive
BITCOIN,positive
BITCOIN,positive
BITCOIN,positive
BITCOIN,positive
BITCOIN,positive
BITCOIN,positive
BITCOIN,positive
BITCOIN,positive
BITCOIN,positive
BITCOIN,positive
BITCOIN,positive
ETHEREUM,positive
ETHEREUM,positive
ETHEREUM,positive
ETHEREUM,positive
ETHEREUM,positive
ETHEREUM,positive
ETHEREUM,neutral
ETHEREUM,neutral
ETHEREUM,negative
ETHEREUM,positive
ETHEREUM,positive
ETHEREUM,positive
ETHEREUM,positive
ETHEREUM,positive
ETHEREUM,negative
ETHEREUM,negative
ETHEREUM,positive
ETHEREUM,positive
ETHEREUM,positive
ETHEREUM,positive
ETHEREUM,positive
ETHEREUM,positive
XRP,positive
XRP,positive
XRP,positive
XRP,positive
XRP,positive
XRP,positive
XRP,positive
XRP,positive
XRP,neutral
XRP,neutral
XRP,positive
XRP,positive
XRP,positive
XRP,positive
XRP,positive
XRP,positive
XRP,neutral
XRP,neutral
XRP,positive
XRP,positive
XRP,positive
XRP,positive
XRP,neutral
BNB,positive
BNB,positive
BNB,positive
BNB,positive
BNB,positive
BNB,positive
BNB,positive
BNB,negative
BNB,positive
BNB,positive
BNB,positive
BNB,positive
BNB,positive
BNB,positive
BNB,positive
BNB,positive
BNB,positive
BNB,positive
BNB,neutral
BNB,positive
SOL,positive
SOL,positive
SOL,positive
SOL,positive
SOL,negative
SOL,positive
SOL,positive
SOL,positive
SOL,positive
SOL,positive
SOL,positive
SOL,positive
SOL,positive
SOL,positive
SOL,positive
SOL,positive
SOL,neutral
SOL,positive
SOL,positive
SOL,positive
SOL,positive
SOL,positive
DOGECOIN,positive
DOGECOIN,negative
DOGECOIN,positive
DOGECOIN,positive
DOGECOIN,negative
DOGECOIN,positive
DOGECOIN,positive
DOGECOIN,positive
DOGECOIN,positive
DOGECOIN,positive
DOGECOIN,positive
DOGECOIN,positive
DOGECOIN,positive
DOGECOIN,positive
DOGECOIN,positive
DOGECOIN,positive
DOGECOIN,positive
DOGECOIN,positive
DOGECOIN,negative
DOGECOIN,positive
DOGECOIN,negative
ADA,positive
ADA,positive
ADA,positive
ADA,negative
ADA,positive
ADA,positive
ADA,positive
ADA,negative
ADA,positive
ADA,positive
ADA,neutral
ADA,positive
ADA,positive
ADA,positive
ADA,positive
ADA,positive
ADA,positive
ADA,neutral
ADA,positive
ADA,positive
ADA,positive
ADA,positive
TRX,positive
TRX,positive
TRX,positive
TRX,positive
TRX,positive
TRX,positive
TRX,positive
TRX,positive
TRX,positive
TRX,positive
TRX,positive
TRX,positive
TRX,positive
TRX,positive
TRX,positive
TRX,positive
TRX,positive
TRX,negative
TRX,positive
TRX,positive
TRX,positive
AVAXUSDT,positive
AVAXUSDT,positive
AVAXUSDT,positive
AVAXUSDT,positive
AVAXUSDT,positive
AVAXUSDT,positive
AVAXUSDT,positive
AVAXUSDT,positive
AVAXUSDT,positive
AVAXUSDT,positive
AVAXUSDT,positive
AVAXUSDT,positive
AVAXUSDT,positive
AVAXUSDT,positive
AVAXUSDT,positive
AVAXUSDT,positive
AVAXUSDT,positive
AVAXUSDT,positive
AVAXUSDT,positive
AVAXUSDT,positive
SUI,positive
SUI,positive
SUI,positive
SUI,positive
SUI,positive
SUI,negative
SUI,positive
SUI,positive
SUI,positive
SUI,positive
SUI,positive
SUI,positive
SUI,positive
SUI,positive
SUI,neutral
SUI,negative
SUI,positive
SUI,positive
SUI,positive
SUI,positive
SUI,negative
TONCOIN,negative
TONCOIN,positive
TONCOIN,negative
TONCOIN,negative
TONCOIN,negative
TONCOIN,positive
TONCOIN,positive
TONCOIN,positive
TONCOIN,positive
TONCOIN,negative
TONCOIN,neutral
TONCOIN,positive
TONCOIN,positive
TONCOIN,positive
TONCOIN,positive
TONCOIN,neutral
TONCOIN,positive
TONCOIN,positive
TONCOIN,positive
TONCOIN,positive
TONCOIN,positive
TONCOIN,positive
TONCOIN,negative
